1000,1,50,22,c,p,Trips 214.83,211.1,205.48,194.19,214.26,210.89,197.64,208.23,210.9,208.68,214.83,211.1,205.48,194.19,214.26,210.89,197.64,208.23,210.9,208.68,
1000,1,50,22,c,r,Trips 236.67,226.79,225.52,246.84,218.43,213.93,217.82,227.53,223.37,228.16,236.67,226.79,225.52,246.84,218.43,213.93,217.82,227.53,223.37,228.16,
1000,1,50,22,s,p,Trips 129.86,131.92,133.18,149.56,143.87,127.12,130.98,144.58,129.55,129.77,129.86,131.92,133.18,149.56,143.87,127.12,130.98,144.58,129.55,129.77,
1000,1,50,22,s,r,Trips 125.92,127.42,131.36,124.86,132.13,130.74,129.18,130.28,130.74,132.0,125.92,127.42,131.36,124.86,132.13,130.74,129.18,130.28,130.74,132.0,
1000,2,50,22,c,p,Trips 211.26,217.4,217.4,225.14,189.91,225.14,191.3,194.78,225.14,225.14,225.14,215.17,204.08,195.65,214.83,204.31,191.38,197.04,225.14,188.41,
1000,2,50,22,c,r,Trips 203.22,210.75,228.84,246.47,235.08,210.81,208.96,205.88,226.94,208.44,231.04,208.76,214.14,229.45,229.45,229.45,229.45,229.45,229.45,229.45,
1000,2,50,22,s,p,Trips 119.18,125.48,135.95,121.12,120.67,116.49,116.34,124.97,131.1,120.26,130.0,123.24,119.24,130.15,123.24,123.24,136.53,117.85,130.15,123.24,
1000,2,50,22,s,r,Trips 141.41,129.52,126.34,132.13,129.98,137.05,135.12,127.37,124.25,129.35,162.05,135.91,148.25,155.05,142.88,139.7,162.05,151.3,137.46,139.7,
1000,3,50,22,c,p,Trips 188.38,229.7,187.99,223.0,236.49,212.58,212.58,191.15,187.26,203.4,195.39,209.28,172.08,185.01,183.27,206.2,186.57,198.25,202.93,194.63,
1000,3,50,22,c,r,Trips 196.12,209.03,238.86,216.24,187.73,209.11,197.56,192.13,192.13,200.47,201.03,197.42,194.76,194.76,198.46,194.76,194.76,200.56,194.76,192.71,
