1,Trips 155.87,155.87,155.87,155.87,155.87,155.87,155.87,117.89,155.87,117.89,156.81,156.81,165.39,156.81,165.39,156.81,156.81,165.39,165.39,165.39,
10,Trips 109.16,109.16,109.16,109.16,109.16,109.16,109.16,129.56,109.16,129.56,133.02,133.02,119.24,133.02,119.24,133.02,133.02,119.24,119.24,119.24,
2,Trips 148.52,148.52,148.52,148.52,148.52,148.52,148.52,148.52,148.52,148.52,148.52,148.52,148.52,148.52,148.52,148.52,148.52,148.52,148.52,148.52,
3,Trips 124.78,124.78,124.78,124.78,124.78,124.78,124.78,126.8,124.78,126.8,124.78,124.78,124.78,124.78,124.78,124.78,124.78,126.8,124.78,126.8,
4,Trips 118.17,118.17,118.17,118.17,118.17,118.17,118.17,146.77,118.17,146.77,118.17,118.17,118.17,118.17,118.17,118.17,118.17,146.77,118.17,146.77,
5,Trips 135.49,135.49,135.49,135.49,135.49,135.49,135.49,127.14,135.49,127.14,135.49,135.49,135.49,135.49,135.49,135.49,135.49,127.14,135.49,127.14,
6,Trips 119.76,119.76,119.76,119.76,119.76,119.76,119.76,116.4,119.76,116.4,121.58,121.58,114.52,121.58,114.52,121.58,121.58,114.52,114.52,114.52,
7,Trips 120.95,120.95,120.95,120.95,120.95,120.95,120.95,126.2,120.95,126.2,120.95,120.95,120.95,120.95,120.95,120.95,120.95,126.2,120.95,126.2,
8,Trips 118.98,118.98,118.98,118.98,118.98,118.98,118.98,135.43,118.98,135.43,145.44,145.44,145.44,145.44,145.44,145.44,145.44,145.44,145.44,145.44,
9,Trips 152.36,152.36,152.36,152.36,152.36,152.36,152.36,146.06,152.36,146.06,163.03,163.03,130.91,163.03,130.91,163.03,163.03,130.91,130.91,130.91,
11,Trips 134.88,134.88,135.56,134.88,134.88,134.88,134.88,135.56,135.56,135.56,134.88,134.88,135.56,134.88,134.88,134.88,134.88,135.56,135.56,135.56,
12,Trips 138.23,138.3,147.76,138.23,138.3,138.23,138.23,147.76,147.76,147.76,138.23,138.3,147.76,138.23,138.3,138.23,138.23,147.76,147.76,147.76,
13,Trips 146.49,146.56,139.22,146.49,146.56,146.49,146.49,139.15,139.22,139.22,146.49,146.56,139.22,146.49,146.56,146.49,146.49,139.15,139.22,139.22,
14,Trips 128.13,128.13,146.14,128.13,128.13,128.13,128.13,146.14,146.14,146.14,128.13,128.13,146.14,128.13,128.13,128.13,128.13,146.14,146.14,146.14,
15,Trips 139.11,139.04,139.11,139.11,139.04,139.11,139.11,139.04,139.11,139.11,124.42,126.19,130.09,124.42,126.19,125.06,125.06,125.06,130.09,130.09,
16,Trips 145.84,145.84,138.87,145.84,145.84,145.84,145.84,138.94,138.87,138.87,145.84,145.84,138.87,145.84,145.84,145.84,145.84,138.94,138.87,138.87,
17,Trips 129.04,129.04,142.39,129.04,129.04,129.04,129.04,142.39,142.39,142.39,129.82,129.82,140.8,129.82,129.82,129.82,129.82,129.82,140.8,142.57,
18,Trips 113.0,113.07,132.12,113.0,113.07,113.0,113.0,132.12,132.12,132.12,113.0,113.07,132.12,113.0,113.07,113.0,113.0,132.12,132.12,132.12,
19,Trips 163.01,163.08,166.15,163.01,163.08,163.01,163.01,166.22,166.15,166.15,163.01,163.08,166.15,163.01,163.08,163.01,163.01,166.22,166.15,166.15,
20,Trips 154.66,154.66,142.15,154.66,154.66,154.66,154.66,142.15,142.15,142.15,154.66,154.66,142.15,154.66,154.66,154.66,154.66,142.15,142.15,142.15,
